Unnamed: 0,geo,time,Search_impression,Display_impression,Video_impression,DemandGen_impression,Search_spend,Display_spend,Video_spend,DemandGen_spend,Conversions,Population,Revenue_Per_Conversion
66,Alabama,2024-07-22,1186.00,264.00,1157.00,0.00,520.00,0.94,15.76,0.00,6.00,5039877.00,3528.00
67,Alabama,2024-07-29,1261.00,1307.00,735.00,0.00,343.73,13.08,12.67,0.00,6.00,5039877.00,3528.00
68,Alabama,2024-08-05,1142.00,1319.00,872.00,0.00,529.78,20.93,14.46,0.00,3.00,5039877.00,1764.00
69,Alabama,2024-08-12,1102.00,644.00,770.00,93.00,327.25,15.17,13.24,2.22,4.00,5039877.00,2352.00
70,Alabama,2024-08-19,939.00,115.00,879.00,133.00,460.04,6.89,12.27,2.69,5.00,5039877.00,2940.00
71,Alabama,2024-08-26,1033.00,189.00,830.00,614.00,396.14,26.33,12.30,3.84,3.00,5039877.00,1764.00
72,Alabama,2024-09-02,1211.00,354.00,945.00,111.00,527.00,22.88,19.18,1.63,6.00,5039877.00,3528.00
73,Alabama,2024-09-09,834.00,650.00,1077.00,81.00,289.84,22.22,21.04,0.33,5.00,5039877.00,2940.00
74,Alabama,2024-09-16,769.00,1857.00,1205.00,258.00,294.43,53.50,28.39,2.63,1.00,5039877.00,588.00
75,Alabama,2024-09-23,812.00,3372.00,1593.00,194.00,255.70,18.28,33.88,1.67,3.00,5039877.00,1764.00
76,Alabama,2024-09-30,758.00,4257.00,1567.00,482.00,267.07,8.31,29.48,9.87,0.00,5039877.00,0.00
77,Alabama,2024-10-07,748.00,327.00,1302.00,159.00,295.82,5.41,31.09,4.13,1.00,5039877.00,588.00
78,Alabama,2024-10-14,711.00,322.00,1434.00,202.00,443.26,29.04,26.53,2.37,3.00,5039877.00,1764.00
79,Alabama,2024-10-21,659.00,65.00,6104.00,390.00,533.39,0.89,25.75,3.64,5.00,5039877.00,2940.00
80,Alabama,2024-10-28,654.00,132.00,684.00,189.00,390.86,0.02,18.51,8.49,0.00,5039877.00,0.00
