geo,time,Search_impression,Display_impression,Video_impression,DemandGen_impression,Search_spend,Display_spend,Video_spend,Demand Gen_spend,Conversions,Population,Revenue_Per_Conversion
Wales,2/19/24,,1,,, --,$0.00, --, --,0,3105000,$0
Washington,2/19/24,"2,745","3,497","12,267","1,240",$460.15,$39.23,$109.48,$10.03,7,7796941,"$4,116"
West Virginia,2/19/24,178,765,"1,051",132,$49.51,$10.84,$12.04,$0.71,3,1782959,"$1,764"
Wisconsin,2/19/24,853,"1,487","3,191",660,$143.82,$3.09,$27.91,$6.55,3,5893718,"$1,764"
Wyoming,2/19/24,71,215,487,65,$24.81,$0.24,$3.65,$0.45,1,577719,$588
Alabama,2/26/24,351,"1,150","2,468",266,$144.82,$35.99,$24.77,$11.35,4,5039877,"$2,352"
Alaska,2/26/24,168,54,461,31,$21.08,$0.00,$4.66,$0.15,2,732673,"$1,176"
Arizona,2/26/24,835,"1,452","3,345",439,$222.41,$29.36,$40.27,$5.31,1,7359197,$588
Arkansas,2/26/24,173,524,"1,051",110,$47.34,$12.19,$13.37,$2.75,2,3011524,"$1,176"
California,2/26/24,"12,198","8,191","18,802","1,746","$1,278.44",$144.40,$219.59,$27.45,21,39538223,"$12,348"
City of Zagreb,2/26/24,,1,,, --,$0.00, --, --,0,767131,$0
Colorado,2/26/24,672,"1,230","2,647",220,$157.18,$17.52,$29.99,$1.60,1,5807719,$588
Connecticut,2/26/24,488,605,"1,669",221,$140.60,$6.11,$18.13,$4.30,2,3605597,"$1,176"
Delaware,2/26/24,117,168,481,64,$39.36,$0.32,$5.58,$0.64,1,1003384,$588
District of Columbia,2/26/24,320,"1,017",985,113,$90.64,$47.58,$12.62,$2.03,1,689545,$588
Dubrovnik-Neretva County,2/26/24,,1,,, --,$0.00, --, --,0,115862,$0
Eastern Province,2/26/24,,1,,, --,$0.00, --, --,0,5300000,$0
Ehime,2/26/24,,1,,, --,$0.00, --, --,0,1306000,$0
Federal Capital Territory,2/26/24,,1,,, --,$0.00, --, --,0,3564126,$0
Florida,2/26/24,"17,371","7,423","11,144","1,590","$2,242.36",$185.13,$139.22,$39.83,57.49,21781128,"$33,804"
Gauteng,2/26/24,,3,,, --,$0.00, --, --,0,16060000,$0
Georgia,2/26/24,"1,460","3,033","6,248",907,$452.70,$41.79,$78.56,$21.14,8,10711908,"$4,704"
Greater Poland Voivodeship,2/26/24,,1,,, --,$0.00, --, --,0,3501250,$0
Hawaii,2/26/24,360,967,"2,714",166,$77.33,$4.12,$26.75,$7.43,0,1455271,$0
Idaho,2/26/24,145,221,544,42,$35.76,$0.00,$5.31,$0.22,0,1839106,$0
Illinois,2/26/24,"2,235","3,891","6,092",765,$592.96,$114.11,$70.24,$12.87,10,12671469,"$5,880"
Indiana,2/26/24,527,"1,134","2,385",292,$157.49,$11.96,$24.40,$2.95,1,6785528,$588
Iowa,2/26/24,217,526,974,142,$50.12,$4.37,$9.75,$0.51,1,3190369,$588
Kansas,2/26/24,205,456,892,99,$68.71,$3.33,$12.61,$0.84,2,2937880,"$1,176"
Kentucky,2/26/24,293,931,"1,643",214,$63.94,$18.45,$15.96,$3.26,0,4505836,$0
KwaZulu-Natal,2/26/24,,1,,, --,$0.00, --, --,0,11531628,$0
Lagos,2/26/24,,4,,, --,$0.00, --, --,0,15000000,$0
Louisiana,2/26/24,473,971,"1,893",230,$192.28,$13.02,$19.93,$1.68,2,4657757,"$1,176"
Maine,2/26/24,138,238,406,47,$29.73,$0.00,$4.86,$0.06,1,1372247,$588
Maryland,2/26/24,863,"1,221","4,514",467,$219.29,$60.76,$51.79,$10.57,6,6165129,"$3,528"
Massachusetts,2/26/24,"1,520","2,526","3,770",449,$421.89,$80.86,$38.89,$3.19,6,6984723,"$3,528"
Michigan,2/26/24,954,"1,788","3,673",429,$311.78,$18.91,$42.20,$2.92,1,10077331,$588
Minnesota,2/26/24,538,917,"2,131",276,$164.50,$61.36,$23.47,$9.87,3,5706398,"$1,764"
Mississippi,2/26/24,190,554,"1,119",109,$82.30,$16.28,$9.93,$1.15,2,2949965,"$1,176"
Missouri,2/26/24,476,"1,048","2,106",264,$154.47,$4.64,$21.79,$2.81,4,6168187,"$2,352"
Montana,2/26/24,84,163,302,35,$13.23,$0.15,$2.99,$1.49,0,1084225,$0
Nebraska,2/26/24,144,311,609,53,$36.57,$5.41,$6.59,$0.19,1,1961504,$588
Nevada,2/26/24,534,824,"2,418",176,$158.10,$4.04,$27.44,$2.81,2,3104614,"$1,176"
New Hampshire,2/26/24,121,123,407,41,$23.62,$2.15,$4.06,$0.04,1,1388992,$588
New Jersey,2/26/24,"1,244","1,749","4,804",605,$372.01,$15.75,$53.36,$9.69,3,9288994,"$1,764"
New Mexico,2/26/24,131,411,916,108,$26.51,$14.37,$9.34,$1.18,1.43,2117522,$841
New York,2/26/24,"3,739","6,760","13,569","1,558",$914.41,$148.70,$152.74,$21.22,16,19835913,"$9,408"
North Carolina,2/26/24,"1,170","2,723","5,422",611,$358.67,$52.08,$62.24,$9.73,8,10551162,"$4,704"
North Dakota,2/26/24,64,172,213,24,$8.03,$1.98,$1.90,$0.01,0,779702,$0
Ohio,2/26/24,961,"1,854","4,475",539,$280.38,$16.38,$46.95,$11.35,7,11780017,"$4,116"
Oklahoma,2/26/24,277,853,"1,455",169,$64.21,$15.91,$16.90,$0.89,2,3986639,"$1,176"
Ontario,2/26/24,,3,,, --,$0.00, --, --,0,14951825,$0
Oregon,2/26/24,418,638,"2,471",177,$102.27,$1.85,$29.95,$2.62,0,4237256,$0
Pennsylvania,2/26/24,"1,184","2,410","5,727",772,$508.90,$72.20,$61.45,$10.13,8,12964056,"$4,704"
Rhode Island,2/26/24,102,154,449,66,$31.64,$1.36,$4.97,$0.78,0,1098163,$0
Rivers,2/26/24,,1,,, --,$0.00, --, --,0,7303924,$0
San Francisco Bay Area,2/26/24,"1,083","1,887","5,440",444,$196.41,$10.72,$61.54,$6.56,2,7753000,"$1,176"
Silicon Valley,2/26/24,408,393,"1,390",141,$80.13,$3.69,$15.27,$1.19,2,3137600,"$1,176"
South Carolina,2/26/24,466,"1,100","2,005",236,$135.76,$107.05,$22.30,$2.65,3,5190705,"$1,764"
South Dakota,2/26/24,49,173,229,31,$14.26,$0.00,$2.22,$0.32,0,903027,$0
Tel Aviv District,2/26/24,,1,,, --,$0.00, --, --,0,1443600,$0
Tennessee,2/26/24,957,"2,985","2,735",327,$282.09,$46.44,$30.20,$2.54,4,6975218,"$2,352"
Texas,2/26/24,"22,524","6,265","13,570","1,782","$1,066.01",$348.00,$153.74,$23.42,14,29527941,"$8,232"
Utah,2/26/24,317,359,"1,381",147,$77.66,$0.82,$15.48,$1.67,0,3337975,$0
Vermont,2/26/24,80,99,225,19,$18.44,$0.00,$1.90,$0.27,0,643077,$0
Virginia,2/26/24,"1,081","2,355","4,304",548,$277.04,$52.95,$49.59,$6.92,6,8642274,"$3,528"
Washington,2/26/24,"1,369","1,653","5,224",474,$374.27,$37.54,$57.82,$7.44,7,7796941,"$4,116"
West Virginia,2/26/24,129,273,565,123,$20.44,$4.17,$6.50,$0.56,0,1782959,$0
Wisconsin,2/26/24,404,776,"1,562",254,$114.29,$12.24,$17.59,$0.81,1,5893718,$588
Wyoming,2/26/24,41,90,179,18,$15.59,$0.53,$2.06,$0.04,1,577719,$588
Alabama,3/4/24,404,"2,007","4,074",306,$116.65,$9.48,$32.48,$3.78,1,5039877,$588
Alaska,3/4/24,180,162,529,44,$21.87,$0.00,$3.66,$0.72,0,732673,$0
Arizona,3/4/24,"1,292","2,790","4,751",706,$470.36,$11.62,$34.98,$10.61,7,7359197,"$4,116"
Arkansas,3/4/24,169,"1,171","1,834",132,$41.99,$19.96,$13.79,$1.72,1,3011524,$588
Bavaria,3/4/24,,1,,, --,$0.00, --, --,0,13140183,$0
California,3/4/24,"4,077","11,345","24,417","2,431",$980.96,$139.58,$215.10,$29.13,16,39538223,"$9,408"
Colorado,3/4/24,636,"1,843","3,833",450,$175.51,$11.46,$25.53,$5.05,1,5807719,$588
Connecticut,3/4/24,470,"1,010","2,360",368,$140.73,$14.42,$17.47,$2.69,4,3605597,"$2,352"
Delaware,3/4/24,125,281,582,75,$31.66,$0.00,$5.57,$0.51,1,1003384,$588
District of Columbia,3/4/24,264,"2,173",941,278,$91.43,$5.43,$6.28,$1.04,1,689545,$588
Florida,3/4/24,"10,634","16,424","16,035","2,337","$1,806.16",$167.21,$139.32,$40.52,42,21781128,"$24,696"
Georgia,3/4/24,"1,422","5,111","10,019","1,089",$408.88,$50.20,$92.75,$13.26,5,10711908,"$2,940"
Hawaii,3/4/24,448,"1,395","2,530",327,$126.65,$25.60,$21.98,$4.09,0,1455271,$0
Idaho,3/4/24,119,548,927,142,$36.64,$3.10,$5.48,$0.47,0,1839106,$0
Illinois,3/4/24,"2,073","5,838","9,847","1,383",$533.28,$42.98,$77.01,$12.72,5,12671469,"$2,940"
Indiana,3/4/24,466,"1,899","4,302",502,$190.08,$15.49,$35.06,$4.04,3,6785528,"$1,764"
Iowa,3/4/24,213,"1,031","2,056",346,$59.39,$9.72,$11.62,$3.26,0,3190369,$0
Kansas,3/4/24,158,"1,032","1,646",188,$67.71,$6.57,$12.70,$1.92,1,2937880,$588
Kentucky,3/4/24,346,"1,438","2,936",235,$119.73,$17.20,$22.55,$2.62,3,4505836,"$1,764"
Lesser Poland Voivodeship,3/4/24,,1,,, --,$0.00, --, --,0,3404500,$0
Louisiana,3/4/24,416,"1,694","3,115",225,$105.77,$18.78,$27.36,$4.16,3,4657757,"$1,764"
Maine,3/4/24,133,454,760,68,$35.97,$1.94,$4.44,$1.30,1,1372247,$588
Maryland,3/4/24,810,"1,714","4,976",734,$235.22,$36.38,$45.65,$8.16,5,6165129,"$2,940"
Massachusetts,3/4/24,"1,425","3,556","5,052",835,$407.99,$76.71,$37.32,$7.51,5,6984723,"$2,940"
Michigan,3/4/24,820,"2,996","6,735",759,$253.97,$39.49,$57.39,$4.77,4,10077331,"$2,352"
Minnesota,3/4/24,496,"1,313","3,803",624,$149.55,$13.61,$26.33,$7.83,2,5706398,"$1,176"
Mississippi,3/4/24,153,"1,262","1,971",114,$50.19,$7.81,$19.47,$1.03,0,2949965,$0
Missouri,3/4/24,489,"2,108","3,981",497,$154.75,$36.08,$25.03,$5.61,4,6168187,"$2,352"
Montana,3/4/24,110,318,611,88,$43.23,$0.70,$3.46,$0.58,1,1084225,$588
Nebraska,3/4/24,118,611,"1,181",201,$37.98,$2.31,$7.90,$1.23,1,1961504,$588
Nevada,3/4/24,428,"1,791","2,812",291,$82.43,$22.59,$22.32,$3.71,0,3104614,$0
New Hampshire,3/4/24,129,362,675,95,$23.82,$0.88,$4.30,$0.91,0,1388992,$0
New Jersey,3/4/24,"1,317","2,498","6,394",986,$422.12,$11.15,$55.16,$10.86,10,9288994,"$5,880"
New Mexico,3/4/24,125,729,"1,349",166,$73.90,$3.31,$10.98,$1.91,1,2117522,$588
New York,3/4/24,"3,731","8,541","17,982","2,834","$1,008.57",$68.11,$162.95,$30.70,14,19835913,"$8,232"
North Carolina,3/4/24,"1,058","4,062","7,279","1,125",$354.82,$61.11,$57.93,$15.58,5,10551162,"$2,940"
North Dakota,3/4/24,53,270,457,68,$24.40,$3.22,$2.92,$1.08,0,779702,$0
Ohio,3/4/24,977,"3,131","8,251",833,$322.98,$46.24,$60.87,$6.71,4,11780017,"$2,352"
Oklahoma,3/4/24,291,"1,358","2,278",222,$120.09,$8.79,$15.29,$2.23,3,3986639,"$1,764"
Oregon,3/4/24,383,"1,090","3,112",317,$112.83,$1.57,$22.03,$3.28,0,4237256,$0
Pennsylvania,3/4/24,"1,301","3,635","9,138","1,271",$469.49,$52.82,$69.83,$12.06,7,12964056,"$4,116"
Rhode Island,3/4/24,104,295,646,44,$38.20,$2.08,$4.58,$1.56,1,1098163,$588
San Francisco Bay Area,3/4/24,"1,186","2,952","6,515",633,$232.93,$31.39,$52.47,$6.64,2,7753000,"$1,176"
Silicon Valley,3/4/24,331,428,"1,499",235,$38.72,$1.00,$13.49,$1.24,2,3137600,"$1,176"
South Carolina,3/4/24,"1,078","1,512","3,076",448,$377.97,$14.99,$27.81,$6.29,10,5190705,"$5,880"
South Dakota,3/4/24,54,284,569,48,$12.28,$2.38,$2.71,$0.30,0,903027,$0
Tennessee,3/4/24,595,"2,636","4,377",518,$215.67,$26.29,$37.89,$5.11,2,6975218,"$1,176"
Texas,3/4/24,"18,402","11,782","19,482","1,729","$1,127.31",$97.60,$145.00,$21.13,15,29527941,"$8,820"
Utah,3/4/24,384,719,"1,820",400,$123.56,$0.92,$11.51,$2.40,1,3337975,$588
Vermont,3/4/24,90,181,311,67,$12.17,$6.36,$1.65,$0.46,1,643077,$588
Virginia,3/4/24,"1,039","3,802","7,058",962,$280.26,$37.15,$48.64,$7.89,6,8642274,"$3,528"
Washington,3/4/24,"1,406","2,518","6,745",817,$348.69,$13.39,$53.09,$9.91,4,7796941,"$2,352"
West Virginia,3/4/24,102,474,"1,106",103,$35.49,$1.94,$7.28,$0.77,0,1782959,$0
Wisconsin,3/4/24,372,"1,330","2,783",492,$90.70,$9.89,$19.66,$3.80,0,5893718,$0
Wyoming,3/4/24,41,245,303,38,$16.20,$0.00,$1.64,$0.34,0,577719,$0
Alabama,3/11/24,702,"2,005","3,817",914,$291.66,$46.00,$37.22,$24.19,7,5039877,"$4,116"
Alaska,3/11/24,312,151,846,139,$65.94,$0.00,$10.87,$0.59,2,732673,"$1,176"
Arizona,3/11/24,"2,171","1,659","6,061","1,439",$714.58,$13.09,$73.32,$8.72,13,7359197,"$7,644"
Arkansas,3/11/24,306,983,"1,983",387,$185.44,$8.30,$18.62,$1.71,2,3011524,"$1,176"
California,3/11/24,"6,013","9,807","38,419","7,863","$1,727.86",$164.31,$471.74,$50.24,28,39538223,"$16,464"
Colorado,3/11/24,"1,119","1,608","4,978","1,083",$324.01,$28.98,$53.43,$8.51,4,5807719,"$2,352"
Connecticut,3/11/24,590,"1,012","2,667",672,$243.23,$6.04,$30.20,$3.98,8,3605597,"$4,704"
Delaware,3/11/24,131,299,794,165,$45.93,$1.53,$10.44,$2.39,0,1003384,$0
District of Columbia,3/11/24,455,"2,869","1,677",388,$100.01,$12.47,$18.80,$2.30,1,689545,$588
Florida,3/11/24,"23,093","23,101","17,468","5,869","$3,005.47",$241.83,$213.03,$69.02,71,21781128,"$41,748"
Georgia,3/11/24,"2,212","5,999","10,132","2,814",$639.93,$140.97,$117.78,$25.56,9,10711908,"$5,292"
Hawaii,3/11/24,702,"2,051","3,956",612,$158.11,$31.78,$45.27,$3.84,2,1455271,"$1,176"
Idaho,3/11/24,239,377,"1,078",214,$49.78,$5.42,$11.25,$1.72,0,1839106,$0
Illinois,3/11/24,"3,363","5,278","9,922","2,147","$1,006.55",$98.25,$118.02,$9.59,15,12671469,"$8,820"
Indiana,3/11/24,818,"2,130","3,935",996,$302.64,$40.78,$37.02,$5.35,6,6785528,"$3,528"
Iowa,3/11/24,382,697,"1,678",387,$354.99,$21.31,$14.04,$0.87,4,3190369,"$2,352"
Kansas,3/11/24,280,772,"1,673",335,$84.18,$4.80,$15.80,$0.66,0,2937880,$0
Kentucky,3/11/24,499,"1,525","2,547",636,$157.69,$38.55,$28.83,$8.73,4,4505836,"$2,352"
Louisiana,3/11/24,725,"1,741","3,632",864,$307.09,$55.55,$37.00,$6.12,5,4657757,"$2,940"
Maine,3/11/24,248,425,779,173,$60.28,$13.47,$8.03,$1.21,1,1372247,$588
Maryland,3/11/24,"1,158","1,955","6,945","1,545",$511.43,$28.95,$80.20,$7.27,10,6165129,"$5,880"
Massachusetts,3/11/24,"2,358","3,569","6,263","1,852",$771.02,$122.61,$66.02,$13.89,11,6984723,"$6,468"
Michigan,3/11/24,"1,361","3,185","7,277","1,529",$422.68,$71.31,$73.47,$6.81,15.5,10077331,"$9,114"
Minnesota,3/11/24,795,"1,342","4,266",930,$315.62,$15.59,$47.27,$4.25,4,5706398,"$2,352"
Mississippi,3/11/24,316,837,"2,054",348,$83.93,$1.70,$19.94,$0.95,0,2949965,$0
Missouri,3/11/24,785,"1,779","4,067",894,$351.69,$16.53,$38.43,$1.70,9,6168187,"$5,292"
Montana,3/11/24,153,268,654,160,$47.93,$6.18,$6.08,$0.38,0,1084225,$0
Nebraska,3/11/24,237,488,"1,097",224,$91.52,$4.68,$9.61,$1.18,2,1961504,"$1,176"
Nevada,3/11/24,734,"1,404","4,811",990,$279.76,$12.26,$52.63,$7.37,6,3104614,"$3,528"
New Hampshire,3/11/24,176,328,699,233,$57.67,$0.61,$7.57,$0.27,0,1388992,$0
New Jersey,3/11/24,"1,818","2,509","7,340","2,347",$587.14,$44.38,$79.03,$11.16,8,9288994,"$4,704"
New Mexico,3/11/24,245,548,"1,763",388,$79.17,$10.93,$18.56,$4.87,1,2117522,$588
New York,3/11/24,"5,454","9,452","22,661","5,811","$1,579.50",$262.70,$233.60,$50.41,32,19835913,"$18,816"
North Carolina,3/11/24,"1,678","4,626","7,551","2,205",$667.70,$80.92,$78.19,$31.81,14,10551162,"$8,232"
North Dakota,3/11/24,113,182,423,86,$23.90,$5.02,$4.42,$0.19,0,779702,$0
Ohio,3/11/24,"1,342","3,316","7,303","1,705",$509.68,$40.12,$69.92,$9.26,6,11780017,"$3,528"
Oklahoma,3/11/24,437,"1,361","2,622",492,$132.85,$19.95,$26.71,$1.65,2,3986639,"$1,176"
Oregon,3/11/24,609,945,"4,521",735,$141.44,$14.90,$46.70,$2.75,1,4237256,$588
Pennsylvania,3/11/24,"1,800","4,268","10,790","2,150",$789.10,$94.40,$109.34,$13.45,16,12964056,"$9,408"
Rhode Island,3/11/24,182,293,736,143,$57.67,$3.56,$7.55,$0.24,1,1098163,$588
San Francisco Bay Area,3/11/24,"1,610","2,598","10,092","2,176",$347.00,$25.23,$125.68,$9.25,5,7753000,"$2,940"
Silicon Valley,3/11/24,433,350,"2,526","1,055",$73.50,$1.83,$34.95,$8.23,1,3137600,$588
South Carolina,3/11/24,887,"1,976","3,381",784,$327.85,$44.86,$36.87,$13.03,7,5190705,"$4,116"
South Dakota,3/11/24,91,215,424,92,$20.59,$0.36,$3.32,$0.76,1,903027,$588
Tennessee,3/11/24,960,"2,157","4,342",914,$354.59,$48.43,$43.95,$11.20,4,6975218,"$2,352"
Texas,3/11/24,"24,770","8,246","22,810","5,882","$2,111.82",$236.91,$247.31,$53.70,31,29527941,"$18,228"
Utah,3/11/24,506,594,"2,611",553,$113.81,$7.83,$24.64,$1.84,4,3337975,"$2,352"
Vermont,3/11/24,96,179,384,113,$25.95,$0.00,$3.53,$0.38,0,643077,$0
Virginia,3/11/24,"1,595","3,640","7,672","2,096",$541.57,$44.18,$78.18,$10.17,7,8642274,"$4,116"
Washington,3/11/24,"2,076","2,073","9,114","1,937",$621.45,$11.97,$111.52,$18.67,6,7796941,"$3,528"
West Virginia,3/11/24,168,486,978,196,$58.93,$3.34,$10.36,$0.79,1,1782959,$588
Wisconsin,3/11/24,666,"1,117","2,948",688,$277.63,$3.61,$29.50,$2.04,7,5893718,"$4,116"
Wyoming,3/11/24,72,169,337,63,$26.71,$0.42,$3.26,$0.15,0,577719,$0
Alabama,3/18/24,754,"1,619","3,860",207,$368.07,$36.38,$34.54,$1.31,5,5039877,"$2,940"
Alaska,3/18/24,317,112,735,32,$47.61,$0.00,$9.30,$0.05,0,732673,$0
Arizona,3/18/24,"1,953","1,232","5,612",287,$858.01,$14.76,$64.25,$3.09,9,7359197,"$5,292"
Arkansas,3/18/24,324,494,"2,058",71,$156.05,$28.94,$19.07,$0.08,5,3011524,"$2,940"
California,3/18/24,"6,400","8,395","42,326","1,217","$2,348.26",$180.96,$576.84,$12.40,36,39538223,"$21,168"
Colorado,3/18/24,"1,090","1,297","4,280",185,$437.27,$38.48,$44.61,$0.40,4,5807719,"$2,352"
Connecticut,3/18/24,620,921,"2,856",147,$173.49,$8.48,$32.59,$1.11,2,3605597,"$1,176"
Delaware,3/18/24,144,307,634,30,$48.64,$1.15,$6.34,$0.03,0,1003384,$0
District of Columbia,3/18/24,454,"1,528","1,710",68,$212.14,$12.86,$17.05,$0.17,3,689545,"$1,764"
Florida,3/18/24,"21,301","14,436","15,806","1,014","$3,123.27",$214.55,$170.73,$17.26,65,21781128,"$38,220"
Georgia,3/18/24,"2,467","4,963","9,368",569,$776.59,$124.66,$94.78,$6.15,19,10711908,"$11,172"
Hawaii,3/18/24,533,"1,274","3,664",139,$112.40,$14.37,$41.04,$4.55,3,1455271,"$1,764"
Idaho,3/18/24,179,236,834,46,$34.44,$2.34,$10.82,$0.72,0,1839106,$0
Illinois,3/18/24,"3,762","4,536","12,023",431,"$1,022.46",$66.91,$113.55,$2.80,14,12671469,"$8,232"
Indiana,3/18/24,881,"1,556","3,786",230,$318.41,$21.18,$33.97,$0.45,4,6785528,"$2,352"
Iowa,3/18/24,370,751,"1,679",94,$150.81,$17.48,$14.99,$0.18,2,3190369,"$1,176"
Kansas,3/18/24,323,733,"1,532",80,$133.00,$30.62,$14.17,$0.16,3,2937880,"$1,764"
Kentucky,3/18/24,487,"1,406","2,519",145,$144.59,$16.21,$24.50,$1.78,3,4505836,"$1,764"
Louisiana,3/18/24,745,"1,401","3,695",209,$316.82,$42.23,$36.05,$7.99,8,4657757,"$4,704"
Maine,3/18/24,231,341,660,35,$99.83,$0.30,$6.18,$0.02,2,1372247,"$1,176"
Maryland,3/18/24,"1,288","1,982","6,582",285,$563.03,$36.62,$68.60,$1.44,12,6165129,"$7,056"
Massachusetts,3/18/24,"2,437","3,116","6,426",295,$650.63,$112.95,$67.02,$5.16,11,6984723,"$6,468"
Michigan,3/18/24,"1,484","2,829","7,623",365,$635.07,$48.61,$65.44,$0.73,9.5,10077331,"$5,586"
Minnesota,3/18/24,720,"1,251","5,061",192,$283.05,$26.54,$45.54,$0.75,11,5706398,"$6,468"
Mississippi,3/18/24,347,924,"2,045",63,$116.05,$6.85,$19.67,$0.38,2,2949965,"$1,176"
Missouri,3/18/24,851,"1,463","3,994",211,$382.88,$6.01,$33.16,$0.42,10,6168187,"$5,880"
Montana,3/18/24,129,211,627,20,$49.48,$0.00,$10.39,$0.01,1,1084225,$588
Nebraska,3/18/24,219,443,"1,027",45,$62.45,$6.07,$8.50,$0.36,3,1961504,"$1,764"
Nevada,3/18/24,760,"1,242","4,672",140,$310.95,$12.29,$55.15,$2.34,5,3104614,"$2,940"
New Hampshire,3/18/24,159,257,631,25,$29.58,$27.72,$8.54,$1.18,0,1388992,$0
New Jersey,3/18/24,"1,967","2,498","7,532",475,$676.02,$30.76,$81.07,$3.12,6,9288994,"$3,528"
New Mexico,3/18/24,244,526,"1,722",84,$79.58,$5.54,$20.55,$1.87,0.57,2117522,$335
New York,3/18/24,"5,547","9,061","26,132","1,050","$1,584.75",$162.73,$244.42,$13.07,17,19835913,"$9,996"
North Carolina,3/18/24,"1,805","3,989","7,151",511,$735.64,$103.10,$79.41,$17.17,14,10551162,"$8,232"
North Dakota,3/18/24,98,171,427,20,$34.77,$0.00,$4.05,$0.03,0,779702,$0
Ohio,3/18/24,"1,511","2,943","6,919",432,$685.83,$33.50,$67.37,$4.60,10,11780017,"$5,880"
Oklahoma,3/18/24,458,706,"2,548",86,$147.69,$22.41,$24.72,$0.34,4.98,3986639,"$2,928"
Oregon,3/18/24,546,704,"4,343",159,$183.23,$6.23,$49.28,$0.81,1,4237256,$588
Pennsylvania,3/18/24,"1,777","3,588","10,968",454,$658.20,$101.12,$106.97,$5.00,11,12964056,"$6,468"
Rhode Island,3/18/24,147,305,651,39,$45.46,$0.46,$7.35,$0.11,1,1098163,$588
San Francisco Bay Area,3/18/24,"1,593","1,791","11,011",278,$440.31,$60.82,$144.39,$10.72,10,7753000,"$5,880"
Silicon Valley,3/18/24,481,370,"2,513",129,$138.46,$26.98,$32.20,$0.27,3,3137600,"$1,764"
South Carolina,3/18/24,757,"2,153","2,629",206,$441.49,$122.53,$29.60,$0.66,6,5190705,"$3,528"
South Dakota,3/18/24,77,225,413,25,$15.93,$0.28,$3.84,$0.01,0,903027,$0
Tennessee,3/18/24,964,"1,810","4,003",246,$356.06,$27.12,$37.04,$1.49,8,6975218,"$4,704"
Texas,3/18/24,"36,671","8,700","22,427","1,347","$2,174.00",$210.15,$209.43,$20.94,36,29527941,"$21,168"
Utah,3/18/24,460,412,"2,296",98,$133.05,$6.04,$25.78,$0.48,5,3337975,"$2,940"
Vermont,3/18/24,105,148,348,15,$51.91,$0.49,$4.03,$0.00,1,643077,$588
Virginia,3/18/24,"1,691","3,277","7,055",415,$615.52,$68.42,$79.80,$10.96,6,8642274,"$3,528"
Washington,3/18/24,"2,167","1,890","8,813",355,$711.20,$35.43,$101.60,$2.01,15,7796941,"$8,820"
West Virginia,3/18/24,150,455,919,73,$34.01,$10.99,$11.58,$4.45,4,1782959,"$2,352"
Wisconsin,3/18/24,704,995,"2,780",156,$223.73,$19.05,$24.57,$0.29,6,5893718,"$3,528"
Wyoming,3/18/24,69,101,298,12,$24.92,$3.83,$2.52,$0.01,0,577719,$0
Alabama,3/25/24,619,"1,244","2,975",,$350.80,$28.58,$34.06, --,8,5039877,"$4,704"
Alaska,3/25/24,121,115,566,,$12.48,$1.65,$9.47, --,0,732673,$0
Arizona,3/25/24,"1,196","1,687","4,299",,$551.71,$19.20,$59.27, --,11,7359197,"$6,468"
Arkansas,3/25/24,318,584,"1,489",,$102.29,$3.01,$21.31, --,3,3011524,"$1,764"
California,3/25/24,"5,150","11,411","30,404",,"$1,832.48",$422.61,$449.74, --,34,39538223,"$19,992"
Colorado,3/25/24,951,"1,350","3,197",,$388.93,$44.54,$36.96, --,7,5807719,"$4,116"
Connecticut,3/25/24,572,"1,453","1,891",,$182.51,$11.70,$24.64, --,1,3605597,$588
Delaware,3/25/24,146,346,530,,$104.42,$0.16,$6.72, --,1,1003384,$588
District of Columbia,3/25/24,319,778,"1,164",,$82.00,$4.16,$13.82, --,4,689545,"$2,352"
Florida,3/25/24,"9,726","8,604","11,818",,"$2,765.29",$293.05,$157.93, --,47,21781128,"$27,636"
Georgia,3/25/24,"2,213","4,758","8,170",,$800.10,$136.20,$100.48, --,21,10711908,"$12,348"
Hawaii,3/25/24,349,627,"3,039",,$131.81,$4.79,$39.43, --,1,1455271,$588
Idaho,3/25/24,172,355,532,,$56.82,$1.96,$11.61, --,1,1839106,$588
Illinois,3/25/24,"2,407","3,887","9,247",,$854.30,$102.12,$111.54, --,16,12671469,"$9,408"
Indiana,3/25/24,659,"1,438","2,777",,$252.96,$26.84,$31.74, --,3,6785528,"$1,764"
Iowa,3/25/24,317,778,"1,235",,$120.71,$40.20,$11.32, --,1,3190369,$588
Kansas,3/25/24,303,"1,002","1,184",,$93.14,$9.87,$16.77, --,3,2937880,"$1,764"
Kentucky,3/25/24,414,"1,257","1,737",,$158.00,$19.82,$19.30, --,4,4505836,"$2,352"
Louisiana,3/25/24,563,"1,248","2,839",,$201.80,$14.23,$33.17, --,3,4657757,"$1,764"
Maine,3/25/24,171,378,483,,$38.44,$3.75,$5.62, --,0,1372247,$0
Maryland,3/25/24,"1,205","2,049","4,813",,$468.85,$66.55,$61.54, --,6,6165129,"$3,528"
Massachusetts,3/25/24,"1,446","3,318","4,189",,$464.58,$88.16,$53.00, --,6,6984723,"$3,528"
Michigan,3/25/24,"1,384","2,547","5,041",,$588.79,$117.93,$55.03, --,11,10077331,"$6,468"
Minnesota,3/25/24,664,"1,294","3,487",,$244.12,$43.45,$47.95, --,5,5706398,"$2,940"
Mississippi,3/25/24,285,717,"1,799",,$198.51,$10.69,$18.10, --,1,2949965,$588
