geo,time,Search_impression,Display_impression,Video_impression,DemandGen_impression,Search_spend,Display_spend,Video_spend,Demand Gen_spend,Conversions,Population,Revenue_Per_Conversion
Georgia,10/2/23,"1,710",832,"1,388",,$575.88,$51.89,$13.89, --,8,10711908,"$4,704"
Hawaii,10/2/23,"2,227",88,"1,012",,$483.04,$1.21,$9.00, --,19,1455271,"$11,172"
Idaho,10/2/23,143,28,111,,$46.12,$0.00,$1.04, --,1,1839106,$588
Illinois,10/2/23,"1,765",835,"1,765",,$527.07,$34.57,$17.54, --,14,12671469,"$8,232"
Indiana,10/2/23,530,280,561,,$122.62,$5.70,$5.13, --,2,6785528,"$1,176"
Iowa,10/2/23,174,97,224,,$36.42,$0.00,$2.12, --,1,3190369,$588
Kansas,10/2/23,240,41,253,,$81.78,$0.00,$2.35, --,1,2937880,$588
Kentucky,10/2/23,321,164,378,,$55.48,$0.00,$3.59, --,2,4505836,"$1,176"
Louisiana,10/2/23,"38,883",95,425,,"$1,286.47",$1.02,$3.90, --,30,4657757,"$17,640"
Maine,10/2/23,197,34,105,,$55.60,$1.88,$1.27, --,0,1372247,$0
Maryland,10/2/23,"1,041",308,897,,$321.02,$3.46,$8.23, --,4,6165129,"$2,352"
Massachusetts,10/2/23,"2,094",602,975,,$685.31,$8.10,$12.57, --,3,6984723,"$1,764"
Michigan,10/2/23,"1,185",402,969,,$351.99,$1.83,$9.59, --,5,10077331,"$2,940"
Minnesota,10/2/23,926,93,589,,$223.70,$0.00,$6.32, --,3,5706398,"$1,764"
Mississippi,10/2/23,207,43,258,,$74.12,$0.00,$2.38, --,1,2949965,$588
Missouri,10/2/23,604,203,598,,$214.20,$0.00,$6.10, --,3,6168187,"$1,764"
Montana,10/2/23,101,40,63,,$11.09,$0.00,$0.62, --,0,1084225,$0
Nebraska,10/2/23,150,32,182,,$83.70,$0.00,$1.71, --,0,1961504,$0
Nevada,10/2/23,670,174,720,,$210.03,$1.03,$10.50, --,2,3104614,"$1,176"
New Hampshire,10/2/23,134,54,102,,$10.23,$0.00,$1.07, --,0,1388992,$0
New Jersey,10/2/23,"1,476",598,"1,163",,$412.14,$6.83,$12.88, --,9,9288994,"$5,292"
New Mexico,10/2/23,204,53,204,,$65.98,$0.00,$1.99, --,1,2117522,$588
New York,10/2/23,"4,270","3,539","3,313",,"$1,360.01",$92.70,$37.02, --,22,19835913,"$12,936"
North Carolina,10/2/23,"1,370",499,"1,205",,$413.58,$2.65,$10.92, --,5,10551162,"$2,940"
North Dakota,10/2/23,104,5,64,,$30.26,$0.00,$1.40, --,0,779702,$0
Ohio,10/2/23,"1,090",540,"1,073",,$375.00,$4.66,$12.26, --,7,11780017,"$4,116"
Oklahoma,10/2/23,348,105,389,,$86.61,$0.43,$5.20, --,1,3986639,$588
Oregon,10/2/23,368,48,560,,$84.43,$0.00,$5.82, --,1,4237256,$588
Pennsylvania,10/2/23,"1,465",437,"1,480",,$426.64,$6.14,$16.34, --,9,12964056,"$5,292"
Rhode Island,10/2/23,157,27,109,,$28.91,$0.00,$1.11, --,2,1098163,"$1,176"
San Francisco Bay Area,10/2/23,"1,754",295,"2,253",,$385.81,$4.82,$22.08, --,12,7753000,"$7,056"
Silicon Valley,10/2/23,292,94,514,,$59.73,$1.36,$6.24, --,0,3137600,$0
South Carolina,10/2/23,832,238,427,,$204.47,$0.94,$3.85, --,2,5190705,"$1,176"
South Dakota,10/2/23,48,16,67,,$6.19,$0.00,$0.72, --,0,903027,$0
Tennessee,10/2/23,809,266,684,,$216.03,$3.29,$5.97, --,2,6975218,"$1,176"
Texas,10/2/23,"4,366","1,163","3,861",,"$1,031.96",$26.91,$37.67, --,23,29527941,"$13,524"
Utah,10/2/23,297,29,358,,$64.17,$1.16,$3.39, --,2,3337975,"$1,176"
Vermont,10/2/23,99,32,45,,$23.31,$0.00,$0.44, --,0,643077,$0
Virginia,10/2/23,"1,164",579,"1,054",,$302.83,$28.70,$10.24, --,2,8642274,"$1,176"
Washington,10/2/23,"1,589",431,"1,572",,$536.31,$3.74,$22.79, --,3,7796941,"$1,764"
West Virginia,10/2/23,143,54,120,,$23.42,$0.00,$1.16, --,0,1782959,$0
Wisconsin,10/2/23,392,196,477,,$97.07,$6.19,$4.71, --,2,5893718,"$1,176"
Wyoming,10/2/23,60,8,48,,$26.38,$2.01,$0.47, --,0,577719,$0
